sample_id,band_id,observation_time,start_frequency_mhz,end_frequency_mhz,bandwidth_mhz,hour_of_day,day_of_week,region,state,district,signal_power_dbm,noise_floor_dbm,snr_db,occupancy_ratio,interference_score,target_available,target_occupancy_ratio,label_source,data_type,created_at
1,B001,"2026-01-04 00:00:00",470.000,585.000,11.500,0,0,Bengaluru,Karnataka,NULL,-85.169,-102.432,17.263,0.29991,0.37110,0,0.29991,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
2,B001,"2026-01-05 00:00:00",470.000,585.000,11.500,0,1,Bengaluru,Karnataka,NULL,-87.112,-105.743,18.631,0.30107,0.29431,0,0.30107,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
3,B001,"2026-01-06 00:00:00",470.000,585.000,11.500,0,2,Bengaluru,Karnataka,NULL,-83.579,-101.710,18.131,0.29481,0.40471,0,0.29481,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
4,B001,"2026-01-07 00:00:00",470.000,585.000,11.500,0,3,Bengaluru,Karnataka,NULL,-84.548,-101.724,17.176,0.35596,0.27020,0,0.35596,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
5,B001,"2026-01-08 00:00:00",470.000,585.000,11.500,0,4,Bengaluru,Karnataka,NULL,-80.126,-98.722,18.597,0.32724,0.32420,0,0.32724,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
6,B001,"2026-01-09 00:00:00",470.000,585.000,11.500,0,5,Bengaluru,Karnataka,NULL,-88.740,-105.634,16.894,0.30722,0.35892,0,0.30722,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
7,B001,"2026-01-10 00:00:00",470.000,585.000,11.500,0,6,Bengaluru,Karnataka,NULL,-82.875,-102.602,19.726,0.33114,0.35510,0,0.33114,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
8,B001,"2026-01-04 01:00:00",470.000,585.000,11.500,1,0,Bengaluru,Karnataka,NULL,-83.406,-104.783,21.377,0.36476,0.23593,0,0.36476,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
9,B001,"2026-01-05 01:00:00",470.000,585.000,11.500,1,1,Bengaluru,Karnataka,NULL,-94.213,-103.517,9.304,0.12660,0.27237,1,0.12660,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
10,B001,"2026-01-06 01:00:00",470.000,585.000,11.500,1,2,Bengaluru,Karnataka,NULL,-83.098,-105.048,21.950,0.35650,0.27155,0,0.35650,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
11,B001,"2026-01-07 01:00:00",470.000,585.000,11.500,1,3,Bengaluru,Karnataka,NULL,-84.665,-102.735,18.070,0.30396,0.38307,0,0.30396,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
