record_id,band_id,start_frequency_mhz,end_frequency_mhz,service_type,state,city,hour,day_of_week,bandwidth_mhz,signal_power_dbm,noise_floor_dbm,snr_db,occupancy_ratio,interference_score,assignment_status,occupancy_status,target_available,data_type
1,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,0,11.5,-85.169,-102.432,17.263,0.29991,0.3711,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
2,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,1,11.5,-87.112,-105.743,18.631,0.30107,0.29431,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
3,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,2,11.5,-83.579,-101.71,18.131,0.29481,0.40471,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
4,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,3,11.5,-84.548,-101.724,17.176,0.35596,0.2702,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
5,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,4,11.5,-80.126,-98.722,18.597,0.32724,0.3242,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
6,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,5,11.5,-88.74,-105.634,16.894,0.30722,0.35892,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
7,B001,470,585,IMT candidate,Karnataka,Bengaluru,0,6,11.5,-82.875,-102.602,19.726,0.33114,0.3551,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
8,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,0,11.5,-83.406,-104.783,21.377,0.36476,0.23593,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
9,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,1,11.5,-94.213,-103.517,9.304,0.1266,0.27237,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
10,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,2,11.5,-83.098,-105.048,21.95,0.3565,0.27155,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
11,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,3,11.5,-84.665,-102.735,18.07,0.30396,0.38307,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
12,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,4,11.5,-79.825,-101.125,21.3,0.35469,0.38883,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
13,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,5,11.5,-89.968,-103.793,13.826,0.22611,0.30692,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
14,B001,470,585,IMT candidate,Karnataka,Bengaluru,1,6,11.5,-82.539,-96.161,13.622,0.25249,0.19621,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
15,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,0,11.5,-77.287,-98.445,21.158,0.36379,0.42333,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
16,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,1,11.5,-85.389,-102.235,16.846,0.40984,0.34383,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
17,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,2,11.5,-85.454,-105.609,20.155,0.3767,0.38512,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
18,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,3,11.5,-81.236,-100.191,18.955,0.28791,0.49285,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
19,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,4,11.5,-85.9,-103.524,17.623,0.3534,0.28318,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
20,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,5,11.5,-84.855,-103.417,18.562,0.33666,0.39877,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
21,B001,470,585,IMT candidate,Karnataka,Bengaluru,2,6,11.5,-93.239,-102.734,9.496,0.21936,0.17598,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
22,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,0,11.5,-80.732,-100.961,20.229,0.27026,0.29419,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
23,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,1,11.5,-79.82,-101.58,21.76,0.3283,0.40486,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
24,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,2,11.5,-83.284,-104.527,21.243,0.32916,0.36444,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
25,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,3,11.5,-75.547,-102.075,26.528,0.39589,0.34862,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
26,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,4,11.5,-81.773,-101.712,19.94,0.42151,0.30371,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
27,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,5,11.5,-79.691,-98.442,18.751,0.25943,0.34374,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
28,B001,470,585,IMT candidate,Karnataka,Bengaluru,3,6,11.5,-87.237,-100.223,12.986,0.10369,0.1434,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
29,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,0,11.5,-80.316,-102.006,21.689,0.26608,0.20855,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
30,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,1,11.5,-82.972,-98.596,15.623,0.28005,0.27289,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
31,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,2,11.5,-86.304,-105.103,18.799,0.31684,0.22918,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
32,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,3,11.5,-75.239,-101.992,26.753,0.37196,0.38424,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
33,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,4,11.5,-84.645,-105.258,20.613,0.4056,0.40949,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
34,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,5,11.5,-82.68,-106.202,23.522,0.3922,0.42224,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
35,B001,470,585,IMT candidate,Karnataka,Bengaluru,4,6,11.5,-79.988,-100.219,20.231,0.37735,0.32354,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
36,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,0,11.5,-86.962,-101.511,14.549,0.22263,0.42633,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
37,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,1,11.5,-89.355,-101.199,11.844,0.26723,0.26206,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
38,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,2,11.5,-77.091,-99.94,22.849,0.32828,0.32985,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
39,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,3,11.5,-83.887,-100.855,16.968,0.23179,0.31,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
40,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,4,11.5,-82.551,-99.167,16.615,0.26098,0.34562,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
41,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,5,11.5,-80.123,-100.477,20.353,0.35919,0.52569,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
42,B001,470,585,IMT candidate,Karnataka,Bengaluru,5,6,11.5,-85.218,-102.74,17.522,0.28706,0.42521,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
43,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,0,11.5,-78.928,-100.702,21.773,0.31831,0.28587,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
