record_id,band_id,state,city,start_frequency_mhz,end_frequency_mhz,required_bandwidth_mhz,service_type,assignment_status,occupancy_status,availability_label,data_type
1,B012,Telangana,Hyderabad,3459.238,3479.238,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
2,B012,Delhi,New Delhi,3473.364,3483.364,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
3,B003,Karnataka,Bengaluru,880.969,881.969,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
4,B004,Karnataka,Bengaluru,897.727,898.727,1,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
5,B009,Maharashtra,Mumbai,2339.46,2344.46,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
6,B022,Telangana,Hyderabad,5166.478,5246.478,80,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
7,B006,Rajasthan,Jaipur,1480.786,1500.786,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
8,B002,Gujarat,Ahmedabad,590.354,595.354,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
9,B021,West Bengal,Kolkata,2425.393,2445.393,20,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
10,B014,West Bengal,Kolkata,3663.092,3668.092,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
11,B001,Rajasthan,Jaipur,502.05,542.05,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
12,B013,Rajasthan,Jaipur,3502.651,3507.651,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
13,B021,Tamil Nadu,Chennai,2452.81,2457.81,5,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
14,B006,Telangana,Hyderabad,1445.971,1485.971,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
15,B006,Tamil Nadu,Chennai,1438.699,1478.699,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
16,B014,Karnataka,Bengaluru,3638.501,3648.501,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
17,B006,Tamil Nadu,Chennai,1437.69,1517.69,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
18,B015,Telangana,Hyderabad,6550.914,6551.914,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
19,B012,West Bengal,Kolkata,3491.802,3496.802,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
20,B007,Gujarat,Ahmedabad,1745.679,1785.679,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
